AU,TI,SO,citations WOS,citations all data bases,UT,PM
"ATKINSON, FV; LANGER, H; MENNICKEN, R; SHKALIKOV, AA",THE ESSENTIAL SPECTRUM OF SOME MATRIX OPERATORS,MATHEMATISCHE NACHRICHTEN,106,110,WOS:A1994NT09200001,
"Denk, R; Hieber, M; Pruss, J","R-boundedness, Fourier multipliers and problems of elliptic and parabolic type",MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,105,105,WOS:000185912800001,
"Erbe, L; Peterson, A; Saker, SH",Oscillation criteria for second-order nonlinear dynamic equations on time scales,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,105,106,WOS:000183867300011,
"Bestvina, M; Fujiwara, K",Bounded cohomology of subgroups of mapping class groups,GEOMETRY & TOPOLOGY,105,108,WOS:000208367300004,
"Joux, A",The Weil and Tate pairings as building blocks for public key cryptosystems (survey),ALGORITHMIC NUMBER THEORY,105,107,WOS:000180068300003,
"Chang, NH; Shatah, J; Uhlenbeck, K",Schrodinger maps,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,105,110,WOS:000086024700002,
"Exel, R; Laca, M",Cuntz-Krieger algebras for infinite matrices,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,105,106,WOS:000081977400004,
"Kenig, CE; Ponce, G; Vega, L",Smoothing effects and local existence theory for the generalized nonlinear Schrodinger equations,INVENTIONES MATHEMATICAE,105,108,WOS:000077219800002,
"Buckwar, E; Luchko, Y",Invariance of a partial differential equation of fractional order under the Lie group of scaling transformations,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,105,112,WOS:000076863400006,
"Fathi, A",On convergence of the Lax-Oleinik semi-group,COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE I-MATHEMATIQUE,105,105,WOS:000075993200009,
"vandenBergh, M",Existence theorems for dualizing complexes over non-commutative graded and filtered rings,JOURNAL OF ALGEBRA,105,105,WOS:A1997XY47200019,
"Thomason, RW",The classification of triangulated subcategories,COMPOSITIO MATHEMATICA,105,106,WOS:A1997WP46600001,
"Cianchi, A",A sharp embedding theorem for Orlicz-Sobolev spaces,INDIANA UNIVERSITY MATHEMATICS JOURNAL,105,109,WOS:A1996VH83300003,
"LI, XM",PROPERTIES AT INFINITY OF DIFFUSION SEMIGROUPS AND STOCHASTIC FLOWS VIA WEAK UNIFORM COVERS,POTENTIAL ANALYSIS,105,106,WOS:A1994PR57200001,
"KATO, K",TORIC SINGULARITIES,AMERICAN JOURNAL OF MATHEMATICS,105,105,WOS:A1994PL61400002,
"EBERLEIN, P",GEOMETRY OF 2-STEP NILPOTENT GROUPS WITH A LEFT INVARIANT METRIC,ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,105,106,WOS:A1994PL56100003,
"HAIMAN, MD",CONJECTURES ON THE QUOTIENT RING BY DIAGONAL INVARIANTS,JOURNAL OF ALGEBRAIC COMBINATORICS,105,105,WOS:A1994MT72300002,
"CALL, GS; SILVERMAN, JH",CANONICAL HEIGHTS ON VARIETIES WITH MORPHISMS,COMPOSITIO MATHEMATICA,105,105,WOS:A1993MR93000002,
"SEIP, K",BEURLING TYPE DENSITY THEOREMS IN THE UNIT DISK,INVENTIONES MATHEMATICAE,105,106,WOS:A1993LK49600002,
"BRESAR, M; SEMRL, P","MAPPINGS WHICH PRESERVE IDEMPOTENTS, LOCAL AUTOMORPHISMS, AND LOCAL DERIVATIONS",CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES,105,114,WOS:A1993LH44200003,
"OPDAM, EM","DUNKL OPERATORS, BESSEL-FUNCTIONS AND THE DISCRIMINANT OF A FINITE COXETER GROUP",COMPOSITIO MATHEMATICA,105,108,WOS:A1993KV95600006,
"Fan, M; Kuang, Y",Dynamics of a nonautonomous predator-prey system with the Beddington-DeAngelis functional response,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,104,118,WOS:000222098200003,
"Wang, QW",A system of matrix equations and a linear matrix equation over arbitrary regular rings with identity,LINEAR ALGEBRA AND ITS APPLICATIONS,104,111,WOS:000221592100004,
"Semmelmann, U",Conformal Killing forms on Riemannian manifolds,MATHEMATISCHE ZEITSCHRIFT,104,107,WOS:000186463600005,
"Cao, DM; Peng, SJ",A note on the sign-changing solutions to elliptic problems with critical Sobolev and Hardy terms,JOURNAL OF DIFFERENTIAL EQUATIONS,104,123,WOS:000184852900009,
"Chen, GQ; Feldman, M",Multidimensional transonic shocks and free boundary problems for nonlinear equations of mixed type,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,104,106,WOS:000181888600001,
"Dontchev, AL; Lewis, AS; Rockafellar, RT",The radius of metric regularity,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,104,104,WOS:000178826500004,
"Duong, XT; Ouhabaz, EM; Sikora, A",Plancherel-type estimates and sharp spectral multipliers,JOURNAL OF FUNCTIONAL ANALYSIS,104,104,WOS:000179903600006,
"Grafakos, L; Torres, RH",Maximal operator and weighted norm inequalities for multilinear singular integrals,INDIANA UNIVERSITY MATHEMATICS JOURNAL,104,129,WOS:000180589600009,
"Bartsch, T",Critical point theory on partially ordered Hilbert spaces,JOURNAL OF FUNCTIONAL ANALYSIS,104,104,WOS:000171903400005,
"Liu, ZL; Sun, JX",Invariant sets of descending flow in critical point theory with applications to nonlinear differential equations,JOURNAL OF DIFFERENTIAL EQUATIONS,104,121,WOS:000169005600002,
"Agarwal, RP; O'Regan, D",Nonlinear boundary value problems on time scales,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,104,108,WOS:000167750100008,
"Aleman, A; Cima, JA",An integral operator on H-p and Hardy's inequality,JOURNAL D ANALYSE MATHEMATIQUE,104,112,WOS:000172799500005,
"Crawley-Boevey, W",Geometry of the moment map for representations of quivers,COMPOSITIO MATHEMATICA,104,105,WOS:000168332700002,
"Drabek, P; Robinson, SB",Resonance problems for the p-Laplacian,JOURNAL OF FUNCTIONAL ANALYSIS,104,109,WOS:000084229300008,
"Zhang, GY",The affine Sobolev inequality,JOURNAL OF DIFFERENTIAL GEOMETRY,104,110,WOS:000089112300006,
"Holevo, AS",Quantum coding theorems,RUSSIAN MATHEMATICAL SURVEYS,104,105,WOS:000081776300004,
"Dorfmeister, J; Pedit, F; Wu, H",Weierstrass type representation of harmonic maps into symmetric spaces,COMMUNICATIONS IN ANALYSIS AND GEOMETRY,104,105,WOS:000079785300001,
"De Figueiredo, DG; Yang, JF","Decay, symmetry and existence of solutions of semilinear elliptic systems",NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,104,104,WOS:000073846300001,
"Hofer, H; Wysocki, K; Zehnder, E",The dynamics on three-dimensional strictly convex energy surfaces,ANNALS OF MATHEMATICS,104,106,WOS:000076889700004,
"Huang, XH; Pan, VY",Fast rectangular matrix multiplication and applications,JOURNAL OF COMPLEXITY,104,106,WOS:000074640900006,
"Reiner, V",Non-crossing partitions for classical reflection groups,DISCRETE MATHEMATICS,104,106,WOS:A1997YH78500013,
"Faudree, R; Flandrin, E; Ryjacek, Z",Claw-free graphs - A survey,DISCRETE MATHEMATICS,104,105,WOS:A1997WH60500009,
"Bishop, CJ; Jones, PW",Hausdorff dimension and Kleinian groups,ACTA MATHEMATICA,104,105,WOS:A1997YF56000001,
"Chapman, A; Saad, Y",Deflated and augmented Krylov subspace techniques,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,104,107,WOS:A1997WW11500003,
"Grigoryan, A",Gaussian upper bounds for the heat kernel on arbitrary manifolds,JOURNAL OF DIFFERENTIAL GEOMETRY,104,104,WOS:A1997XY01200002,
"Berenstein, A; Fomin, S; Zelevinsky, A",Parametrizations of canonical bases and totally positive matrices,ADVANCES IN MATHEMATICS,104,105,WOS:A1996VF88600002,
"Francoise, JP","Successive derivatives of a first return map, application to the study of quadratic vector fields",ERGODIC THEORY AND DYNAMICAL SYSTEMS,104,105,WOS:A1996TX88800005,
"Bobenko, A; Pinkall, U",Discrete isothermic surfaces,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,104,107,WOS:A1996VA76800009,
"Embid, PF; Majda, AJ",Averaging over fast gravity waves for geophysical flows with arbitrary potential vorticity,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,104,105,WOS:A1996UK44100012,
"Sourour, AR",Invertibility preserving linear maps on L(X),TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,104,109,WOS:A1996TT20500002,
"Tataru, D",Carleman estimates and unique continuation for solutions to boundary value problems,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,104,107,WOS:A1996UY22200003,
"POPA, S",AN AXIOMATIZATION OF THE LATTICE OF HIGHER RELATIVE COMMUTANTS OF A SUBFACTOR,INVENTIONES MATHEMATICAE,104,104,WOS:A1995RD62600002,
"GREECHIE, RJ; FOULIS, D; PULMANNOVA, S",THE CENTER OF AN EFFECT ALGEBRA,ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,104,105,WOS:A1995RG70800006,
"SEYMOUR, PD",PACKING DIRECTED CIRCUITS FRACTIONALLY,COMBINATORICA,104,106,WOS:A1995RF63800010,
"RUMIN, M",DIFFERENTIAL FORMS ON CONTACT MANIFOLDS,JOURNAL OF DIFFERENTIAL GEOMETRY,104,105,WOS:A1994NG01000003,
"BOYER, CP; GALICKI, K; MANN, BM",THE GEOMETRY AND TOPOLOGY OF 3-SASAKIAN MANIFOLDS,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,104,104,WOS:A1994PQ47600008,
"BEDFORD, E; LYUBICH, M; SMILLIE, J",POLYNOMIAL DIFFEOMORPHISMS OF C-2 .4. THE MEASURE OF MAXIMAL ENTROPY AND LAMINAR CURRENTS,INVENTIONES MATHEMATICAE,104,104,WOS:A1993KT86200005,
"CARRO, MJ; SORIA, J",WEIGHTED LORENTZ SPACES AND THE HARDY OPERATOR,JOURNAL OF FUNCTIONAL ANALYSIS,104,109,WOS:A1993KX19200011,
"SVERAK, V",ON OPTIMAL SHAPE DESIGN,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,104,105,WOS:A1993ML99100002,
"Dolbeault, J; Perthame, B",Optimal critical mass in the two dimensional Keller-Segel model in R-2,COMPTES RENDUS MATHEMATIQUE,103,103,WOS:000225803200002,
"Rodl, V; Skokan, J",Regularity lemma for k-uniform hypergraphs,RANDOM STRUCTURES & ALGORITHMS,103,104,WOS:000222731500001,
"Dujella, A",There are only finitely many Diophantine quintuples,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,103,105,WOS:000188886000006,
"Pang, PYH; Wang, MX",Qualitative analysis of a ratio-dependent predator-prey system with diffusion,PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,103,119,WOS:000185716100011,
"Bukhgeim, AL; Uhlmann, G",Recovering a potential from partial Cauchy data,COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS,103,103,WOS:000175520300007,
"Bondal, A; Orlov, D",Reconstruction of a variety from the derived category and groups of autoequivalences,COMPOSITIO MATHEMATICA,103,104,WOS:000167315300004,
"Suzuki, T",Generalized distance and existence theorems in complete metric spaces,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,103,105,WOS:000166347200006,
"Aupetit, B",Spectrum-preserving linear mappings between Banach algebras or Jordan-Banach algebras,JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,103,106,WOS:000167219900021,
"Serrin, J; Tang, MX",Uniqueness of ground states for quasilinear elliptic equations,INDIANA UNIVERSITY MATHEMATICS JOURNAL,103,108,WOS:000166632200005,
"Lien, CH; Yu, KW; Hsieh, JG",Stability conditions for a class of neutral systems with multiple time delays,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,103,118,WOS:000086866000003,
"Lindenstrauss, E; Weiss, B",Mean topological dimension,ISRAEL JOURNAL OF MATHEMATICS,103,104,WOS:000086615400001,
"Terng, CL; Uhlenbeck, K",Backlund transformations and loop group actions,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,103,105,WOS:000083916500001,
"Exel, R",Partial actions of groups and actions of inverse semigroups,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,103,103,WOS:000076992800006,
"Serre, JP",Asymptotic distribution of eigenvalues of the Hecke operator T-p,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,103,103,WOS:A1997WA19500003,
"Pardue, K",Deformation classes of graded modules and maximal Betti numbers,ILLINOIS JOURNAL OF MATHEMATICS,103,104,WOS:A1996WC33300004,
"Stembridge, JR",On the fully commutative elements of Coxeter groups,JOURNAL OF ALGEBRAIC COMBINATORICS,103,103,WOS:A1996VG04100006,
"Bongartz, K",On degenerations and extensions of finite dimensional modules,ADVANCES IN MATHEMATICS,103,105,WOS:A1996VF03000003,
"Li, HZ",Hypersurfaces with constant scalar curvature in space forms,MATHEMATISCHE ANNALEN,103,113,WOS:A1996VC39900005,
"Banuelos, R; Wang, G",Sharp inequalities for martingales with applications to the Beurling-Ahlfors and Riesz transforms,DUKE MATHEMATICAL JOURNAL,103,103,WOS:A1995TT14700001,
"DAVIES, EB",UNIFORMLY ELLIPTIC-OPERATORS WITH MEASURABLE COEFFICIENTS,JOURNAL OF FUNCTIONAL ANALYSIS,103,105,WOS:A1995RR45100005,
"DEMOTTONI, P; SCHATZMAN, M",GEOMETRICAL EVOLUTION OF DEVELOPED INTERFACES,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,103,103,WOS:A1995QY78600002,
"HAUSSLER, D",SPHERE PACKING NUMBERS FOR SUBSETS OF THE BOOLEAN N-CUBE WITH BOUNDED VAPNIK-CHERVONENKIS DIMENSION,JOURNAL OF COMBINATORIAL THEORY SERIES A,103,105,WOS:A1995QH07800003,
"Bovier, A; Eckhoff, M; Gayrard, V; Klein, M",Metastability in reversible diffusion processes - I. Sharp asymptotics for capacities and exit times,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,102,102,WOS:000225280500001,
"Anderson, DF; Levy, R; Shapiro, J","Zero-divisor graphs, von Neumann regular rings, and Boolean algebras",JOURNAL OF PURE AND APPLIED ALGEBRA,102,104,WOS:000182141400001,
"De Figueiredo, DG; Gossez, JP; Ubilla, P",Local superlinearity and sublinearity for indefinite semilinear elliptic problems,JOURNAL OF FUNCTIONAL ANALYSIS,102,102,WOS:000182440700008,
"Brzezinski, T","The structure of corings: Induction functors, Maschke-type theorem, and Frobenius and Galois-type properties",ALGEBRAS AND REPRESENTATION THEORY,102,108,WOS:000177970400003,
"Belohlavek, R",Fuzzy closure operators,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,102,110,WOS:000171544300002,
"Cuccagna, S",Stabilization of solutions to nonlinear Schrodinger equations,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,102,105,WOS:000169837600004,
"Liu, JL; Srivastava, HM",A linear operator and associated families of meromorphically multivalent functions,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,102,109,WOS:000169946900017,
"Raigorodskii, AM",Borsuk's problem and the chromatic numbers of some metric spaces,RUSSIAN MATHEMATICAL SURVEYS,102,115,WOS:000170126400003,
"Colmez, P; Fontaine, JM",Construction of semi-stable p-adic representations,INVENTIONES MATHEMATICAE,102,102,WOS:000086492200001,
"Heckbert, PS; Garland, M",Optimal triangulation and quadric-based surface simplification,COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,102,104,WOS:000084770400004,
"Robertson, N; Seymour, PD; Thomas, R","Permanents, Pfaffian orientations, and even directed circuits",ANNALS OF MATHEMATICS,102,104,WOS:000085649300005,
"Agarwal, PK; van Kreveld, M; Suri, S",Label placement by maximum independent set in rectangles,COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,102,102,WOS:000078273900006,
"Bach, V; Frohlich, J; Sigal, IM",Renormalization group analysis of spectral problems in quantum field theory,ADVANCES IN MATHEMATICS,102,103,WOS:000075344400001,
"Smith, HF","A parametrix construction for wave equations with C1,1 coefficients",ANNALES DE L INSTITUT FOURIER,102,102,WOS:000075585300009,
"Berestycki, H; Caffarelli, LA; Nirenberg, L",Monotonicity for elliptic equations in unbounded Lipschitz domains,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,102,102,WOS:A1997YD63800002,
"Delfino, D; Marley, T",Cofinite modules and local cohomology,JOURNAL OF PURE AND APPLIED ALGEBRA,102,103,WOS:A1997XX69500004,
"Fintushel, R; Stern, RJ",Rational blowdowns of smooth 4-manifolds,JOURNAL OF DIFFERENTIAL GEOMETRY,102,102,WOS:A1997YJ97200001,
"Avis, D; Bremner, D; Seidel, R",How good are convex hull algorithms?,COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS,102,105,WOS:A1997WX40400002,
"Cassaigne, J",Complexity and special factors,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,102,102,WOS:A1997XZ40400006,
"RORDAM, M",CLASSIFICATION OF CERTAIN INFINITE SIMPLE C-ASTERISK-ALGEBRAS,JOURNAL OF FUNCTIONAL ANALYSIS,102,105,WOS:A1995RQ70500007,
"DURAN, AJ; VANASSCHE, W",ORTHOGONAL MATRIX POLYNOMIALS AND HIGHER-ORDER RECURRENCE RELATIONS,LINEAR ALGEBRA AND ITS APPLICATIONS,102,102,WOS:A1995QV42100015,
"KUDLA, SS; RALLIS, S",A REGULARIZED SIEGEL-WEIL FORMULA - THE 1ST TERM IDENTITY,ANNALS OF MATHEMATICS,102,102,WOS:A1994PE55800001,
"RUZSA, IZ",GENERALIZED ARITHMETICAL PROGRESSIONS AND SUMSETS,ACTA MATHEMATICA HUNGARICA,102,107,WOS:A1994QB64600007,
"SHATAH, J; STRUWE, M",REGULARITY RESULTS FOR NONLINEAR-WAVE EQUATIONS,ANNALS OF MATHEMATICS,102,107,WOS:A1993ML22700002,
"DEMAILLY, JP",A NUMERICAL CRITERION FOR VERY AMPLE LINE BUNDLES,JOURNAL OF DIFFERENTIAL GEOMETRY,102,102,WOS:A1993KR04900002,
"Duchon, P; Flajolet, P; Louchard, G; Schaeffer, G",Boltzmann samplers for the random generation of combinatorial structures,COMBINATORICS PROBABILITY & COMPUTING,101,101,WOS:000225075800007,
"Fathi, A; Siconolfi, A",Existence of C-1 critical subsolutions of the Hamilton-Jacobi equation,INVENTIONES MATHEMATICAE,101,102,WOS:000188208400005,
"Knutson, A; Tao, T; Woodward, C",The honeycomb model of GL(n)(C) tensor products II: Puzzles determine facets of the Littlewood-Richardson cone,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,101,102,WOS:000186315800002,
"Muller, S; Sverak, V",Convex integration for Lipschitz mappings and counterexamples to regularity,ANNALS OF MATHEMATICS,101,101,WOS:000183617500001,
"Kirk, WA",Fixed points of asymptotic contractions,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,101,102,WOS:000181639100019,
"Ozsvath, P; Szabo, Z",Heegaard Floer homology and alternating knots,GEOMETRY & TOPOLOGY,101,101,WOS:000189121500006,
"Ludwig, M",Projection bodies and valuations,ADVANCES IN MATHEMATICS,101,106,WOS:000180091800002,
"Fernandes, RL","Lie algebroids, holonomy and characteristic classes",ADVANCES IN MATHEMATICS,101,103,WOS:000178502100004,
"Chen, GQ; Wang, DH",Global solutions of nonlinear magnetohydrodynamics with large initial data,JOURNAL OF DIFFERENTIAL EQUATIONS,101,102,WOS:000177010500003,
"Evertse, JH; Schlickewei, HP; Schmidt, WM",Linear equations in variables which lie in a multiplicative group,ANNALS OF MATHEMATICS,101,101,WOS:000178112300004,
"Taniguchi, T; Liu, K; Truman, A","Existence, uniqueness, and asymptotic behavior of mild solutions to stochastic functional differential equations in Hilbert spaces",JOURNAL OF DIFFERENTIAL EQUATIONS,101,107,WOS:000175755600004,
"Andruskiewitsch, N",Finite quantum groups and Cartan matrices,ADVANCES IN MATHEMATICS,101,103,WOS:000089331600001,
"Kirchberg, E; Rordam, M",Non-simple purely infinite C*-algebras,AMERICAN JOURNAL OF MATHEMATICS,101,106,WOS:000087359900009,
"Boucheron, S; Lugosi, G; Massart, P",A sharp concentration inequality with applications,RANDOM STRUCTURES & ALGORITHMS,101,101,WOS:000086505500004,
"Hajlasz, P; Koskela, P",Sobolev met Poincare,MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,101,101,WOS:000086927400001,
"Yamamoto, M",Uniqueness and stability in multidimensional hyperbolic inverse problems,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,101,103,WOS:000078415400004,
"Ma, RY; Zhang, JH; Fu, SM",The method of lower and upper solutions for fourth-order two-point boundary value problems,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,101,133,WOS:A1997YK66500007,
"Burris, AC; Schelp, RH",Vertex-distinguishing proper edge-colorings,JOURNAL OF GRAPH THEORY,101,206,WOS:A1997XX47300002,
"Li, HZ",Global rigidity theorems of hypersurfaces,ARKIV FOR MATEMATIK,101,113,WOS:A1997YE73000007,
"Li, TT; Zhou, Y; Kong, DX",Global classical solutions for general quasilinear hyperbolic systems with decay initial data,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,101,125,WOS:A1997WB99500001,
"Wei, JC",On the construction of single-peaked solutions to a singularly perturbed semilinear dirichlet problem,JOURNAL OF DIFFERENTIAL EQUATIONS,101,102,WOS:A1996VF36400004,
"Fabrega, J; Fiol, MA",On the extraconnectivity of graphs,DISCRETE MATHEMATICS,101,115,WOS:A1996VA32800008,
"LALONDE, F; MCDUFF, D",THE GEOMETRY OF SYMPLECTIC ENERGY,ANNALS OF MATHEMATICS,101,101,WOS:A1995QP45400005,
"Lyons, T",DIFFERENTIAL EQUATIONS DRIVEN BY ROUGH SIGNALS (I): AN EXTENSION OF AN INEQUALITY OF L. C. YOUNG,MATHEMATICAL RESEARCH LETTERS,101,102,WOS:000209444000005,
"FOKAS, AS; GRAMMATICOS, B; RAMANI, A",FROM CONTINUOUS TO DISCRETE PAINLEVE EQUATIONS,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,101,101,WOS:A1993MQ12200004,
"NAKAO, M; ONO, K",EXISTENCE OF GLOBAL-SOLUTIONS TO THE CAUCHY-PROBLEM FOR THE SEMILINEAR DISSIPATIVE WAVE-EQUATIONS,MATHEMATISCHE ZEITSCHRIFT,101,104,WOS:A1993MD37100009,
"CHOI, YS; MCKENNA, PJ",A MOUNTAIN PASS METHOD FOR THE NUMERICAL-SOLUTION OF SEMILINEAR ELLIPTIC PROBLEMS,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,101,113,WOS:A1993KR57600012,
"CONWAY, JH; SLOANE, NJA",SELF-DUAL CODES OVER THE INTEGERS MODULO-4,JOURNAL OF COMBINATORIAL THEORY SERIES A,101,102,WOS:A1993KH42000003,
"Anh, LQ; Khanh, PQ",Semicontinuity of the solution set of parametric multivalued vector quasiequilibrium problems,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,100,108,WOS:000221967400023,
